[32](f:995 r:1000 dfr:0.995000) 3418173
[32](f:990 r:1000 dfr:0.990000) 3563756
[32](f:987 r:1000 dfr:0.987000) 3410934
[32](f:981 r:1000 dfr:0.981000) 3567605
[32](f:988 r:1000 dfr:0.988000) 3558656
[32](f:979 r:1000 dfr:0.979000) 3521997
[32](f:983 r:1000 dfr:0.983000) 3455505
[32](f:965 r:1000 dfr:0.965000) 3465600
[32](f:963 r:1000 dfr:0.963000) 3435112
[32](f:959 r:1000 dfr:0.959000) 3519396
[32](f:952 r:1000 dfr:0.952000) 3510233
[32](f:947 r:1000 dfr:0.947000) 3471680
[32](f:936 r:1000 dfr:0.936000) 3524911
[32](f:931 r:1000 dfr:0.931000) 3461610
[32](f:927 r:1000 dfr:0.927000) 3416656
[32](f:858 r:1000 dfr:0.858000) 3464595
[32](f:838 r:1000 dfr:0.838000) 3511078
[32](f:819 r:1000 dfr:0.819000) 3423378
[32](f:798 r:1000 dfr:0.798000) 3488290
[32](f:764 r:1000 dfr:0.764000) 3432838
[32](f:666 r:1000 dfr:0.666000) 3391967
[32](f:635 r:1000 dfr:0.635000) 3427440
[32](f:635 r:1000 dfr:0.635000) 3392421
[32](f:617 r:1000 dfr:0.617000) 3392512
[32](f:548 r:1000 dfr:0.548000) 3384163
[32](f:466 r:1000 dfr:0.466000) 3377360
[32](f:479 r:1000 dfr:0.479000) 3356126
[32](f:432 r:1000 dfr:0.432000) 3344407
[32](f:421 r:1000 dfr:0.421000) 3331115
[32](f:357 r:1000 dfr:0.357000) 3324750
[32](f:389 r:1000 dfr:0.389000) 3386325
[32](f:360 r:1000 dfr:0.360000) 3341715
[32](f:304 r:1000 dfr:0.304000) 3326871
[32](f:272 r:1000 dfr:0.272000) 3351120
[32](f:252 r:1000 dfr:0.252000) 3307974
[32](f:238 r:1000 dfr:0.238000) 3298910
[32](f:210 r:1000 dfr:0.210000) 3262117
[32](f:213 r:1000 dfr:0.213000) 3295403
[32](f:146 r:1000 dfr:0.146000) 3250546
[32](f:144 r:1000 dfr:0.144000) 3262120
[32](f:138 r:1000 dfr:0.138000) 3241986
[32](f:107 r:1000 dfr:0.107000) 3235508
[32](f:68 r:1000 dfr:0.068000) 3227191
[32](f:63 r:1000 dfr:0.063000) 3234186
[32](f:50 r:1000 dfr:0.050000) 3206994
[32](f:26 r:1000 dfr:0.026000) 3146265
[32](f:37 r:1000 dfr:0.037000) 3167368
[32](f:13 r:1000 dfr:0.013000) 3162197
[32](f:16 r:1000 dfr:0.016000) 3174770
[32](f:13 r:1000 dfr:0.013000) 3134638
[32](f:6 r:1000 dfr:0.006000) 3137753
[32](f:12 r:1000 dfr:0.012000) 3154176
[32](f:5 r:1000 dfr:0.005000) 3102078
[32](f:5 r:1000 dfr:0.005000) 3113406
[32](f:3 r:1000 dfr:0.003000) 3136250
[32](f:3 r:1000 dfr:0.003000) 3096626
[32](f:1 r:1000 dfr:0.001000) 3111258
[32](f:4 r:1000 dfr:0.004000) 3090500
[32](f:1 r:1000 dfr:0.001000) 3121949
[32](f:4 r:1000 dfr:0.004000) 3079836
[32](f:2 r:1000 dfr:0.002000) 3088044
[32](f:1 r:1000 dfr:0.001000) 3104212
[32](f:1 r:1000 dfr:0.001000) 3086886
[32](f:0 r:1000 dfr:0.000000) 3073973
[32](f:1 r:1000 dfr:0.001000) 3068676
[32](f:0 r:1000 dfr:0.000000) 3083099
[32](f:0 r:1000 dfr:0.000000) 3149085
[32](f:0 r:1000 dfr:0.000000) 3080840
[32](f:0 r:1000 dfr:0.000000) 3087913
[32](f:0 r:1000 dfr:0.000000) 3083768
[32](f:0 r:1000 dfr:0.000000) 3073477
[32](f:0 r:1000 dfr:0.000000) 3103851
[32](f:0 r:1000 dfr:0.000000) 3123059
[32](f:0 r:1000 dfr:0.000000) 3051689
[32](f:0 r:1000 dfr:0.000000) 3104662
[32](f:0 r:1000 dfr:0.000000) 3039639
[32](f:0 r:1000 dfr:0.000000) 3040140
[32](f:0 r:1000 dfr:0.000000) 3045819
[32](f:0 r:1000 dfr:0.000000) 3084012
[32](f:0 r:1000 dfr:0.000000) 3103690
[32](f:0 r:1000 dfr:0.000000) 3067929
[32](f:0 r:1000 dfr:0.000000) 3065427
[32](f:0 r:1000 dfr:0.000000) 3043582
[32](f:0 r:1000 dfr:0.000000) 3073586
[32](f:0 r:1000 dfr:0.000000) 3041382
[32](f:0 r:1000 dfr:0.000000) 3068581
[32](f:0 r:1000 dfr:0.000000) 3042513
[32](f:0 r:1000 dfr:0.000000) 3061592
[32](f:0 r:1000 dfr:0.000000) 3064376
[32](f:0 r:1000 dfr:0.000000) 3039805
[32](f:0 r:1000 dfr:0.000000) 3043874
[32](f:0 r:1000 dfr:0.000000) 3044159
[32](f:0 r:1000 dfr:0.000000) 3080735
[32](f:0 r:1000 dfr:0.000000) 3057227
[32](f:0 r:1000 dfr:0.000000) 3086652
[32](f:0 r:1000 dfr:0.000000) 3032903
[32](f:0 r:1000 dfr:0.000000) 3082078
[32](f:0 r:1000 dfr:0.000000) 3055283
[32](f:0 r:1000 dfr:0.000000) 3045630
[32](f:0 r:1000 dfr:0.000000) 3043951
[32](f:0 r:1000 dfr:0.000000) 3039215
[32](f:0 r:1000 dfr:0.000000) 3057954
[32](f:0 r:1000 dfr:0.000000) 3092682
[32](f:0 r:1000 dfr:0.000000) 3038575
[32](f:0 r:1000 dfr:0.000000) 3059335
